"State","Corp_Rate","Corp_Rate_Adj","Pers_Rate","Pers_Rate_Adj","Sales_Rate","Sales_Rate_Adj"
"Alabama",6.5,6.5,5,5,4,4
"Alaska",9.4,9.39999961853027,0,0,0,0
"Arizona",4.9,4.90000009536743,4.5,4.5,5.6,5.59999990463257
"Arkansas",6.5,6.5,6.6,6.6,6.5,6.5
"California",8.84,8.84000015258789,13.3,13.3,7.25,7.25
"Colorado",4.63,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"Connecticut",7.5,8.25,6.99,6.99,6.35,6.34999990463257
"Delaware",8.7,8.69999980926514,6.6,6.6,0,0.746800005435944
"District of Columbia",8.25,8.25,8.95,8.95,6,6
"Florida",4.458,4.45800018310547,0,0,6,6
"Georgia",5.75,5.75,5.75,5.75,4,4
"Hawaii",6.4,6.40000009536743,11,11,4,4
"Idaho",6.925,6.92500019073486,6.925,6.925,6,6
"Illinois",9.5,9.5,4.95,4.95,6.25,6.25
"Indiana",5.75,5.75,3.23,3.23,7,7
"Iowa",12,12,8.53,8.53,6,6
"Kansas",4,7,5.7,5.7,6.5,6.5
"Kentucky",5,5,5,5,6,6.09499979019165
"Louisiana",8,8,6,6,4.45,4.44999980926514
"Maine",8.93,8.93000030517578,7.15,7.15,5.5,5.5
"Maryland",8.25,8.25,5.75,5.75,6,6
"Massachusetts",8,8,5,5,6.25,6.25
"Michigan",6,6,4.25,4.25,6,6
"Minnesota",9.8,9.80000019073486,9.85,9.85,6.875,6.875
"Mississippi",5,5,5,5,7,7
"Missouri",4,4,5.4,5.4,4.225,4.22499990463257
"Montana",6.75,7,6.9,6.9,0,0
"Nebraska",7.81,7.80999994277954,6.84,6.84,5.5,5.5
"Nevada",0,0,0,0,6.85,7.18100023269653
"New Hampshire",7.7,7.69999980926514,0,0,0,0.600000023841858
"New Jersey",9,10.5,10.75,10.75,6.625,6.625
"New Mexico",5.9,5.90000009536743,4.9,4.9,5.125,5.125
"New York",6.5,6.5,8.82,8.82,4,4
"North Carolina",2.5,2.5,5.25,5.25,4.75,4.75
"North Dakota",4.31,7.80999994277954,2.9,2.9,5,5
"Ohio",0,0,4.797,4.797,5.75,6.01000022888184
"Oklahoma",6,6,5,5,4.5,4.5
"Oregon",7.6,7.59999990463257,9.9,9.9,0,0.569999992847443
"Pennsylvania",9.99,9.98999977111816,3.07,3.07,6,6
"Rhode Island",7,7,5.99,5.99,7,7
"South Carolina",5,5,7,7,6,6
"South Dakota",0,0,0,0,4.5,4.5
"Tennessee",6.5,6.5,0,0,7,7.03000020980835
"Texas",0,0,0,0,6.25,7
"Utah",4.95,4.94999980926514,4.95,4.95,6.1,6.09999990463257
"Vermont",8.5,8.5,8.75,8.75,6,6
"Virginia",6,6,5.75,5.75,NA,NA
"Washington",0,0,0,0,6.5,9.22000026702881
"West Virginia",6.5,6.5,6.5,6.5,6,6
"Wisconsin",7.9,7.90000009536743,7.65,7.65,5,5
"Wyoming",0,0,0,0,4,4
